year,cds,ccode,cdcode,scode,rtype,sname,dname,cname,charter_school_(y/n),percent (%)_eligible frpm_(k-12),enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,totnumbothbenchmark12,pctbothbenchmark12,enroll11,numtsttakr11,numerwbenchmark11,pcterwbenchmark11,nummathbenchmark11,pctmathbenchmark11,totnumbothbenchmark11,pctbothbenchmark11
2018-19,1.96473E+13,19,1964733,1933852,S,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,No,0.653727902,585,323,217,67.18,119,36.84,116,35.91,601,541,349,64.51,172,31.79,171,31.61
2018-19,1.96473E+13,19,1964733,1935352,S,Los Angeles Senior High,Los Angeles Unified,Los Angeles,No,0.8136,242,229,82,35.81,47,20.52,42,18.34,287,232,79,34.05,25,10.78,23,9.91
2018-19,1.96473E+13,19,1964733,6116750,S,PUC Community Charter Middle and PUC Community Charter Early College High,Los Angeles Unified,Los Angeles,Yes,0.730964467,89,62,27,43.55,16,25.81,15,24.19,106,90,57,63.33,42,46.67,38,42.22
2018-19,1.96473E+13,19,1964733,130997,S,Sylmar Biotech Health Academy,Los Angeles Unified,Los Angeles,No,0.996254682,57,30,8,26.67,3,10,2,6.67,63,60,24,40,3,5,2,3.33
2018-19,1.96473E+13,19,1964733,1931997,S,Odyssey Continuation,Los Angeles Unified,Los Angeles,No,0.833333333,23,1,,,,,,,30,31,5,16.13,2,6.45,1,3.23
2018-19,1.96473E+13,19,1964733,1932383,S,Susan Miller Dorsey Senior High,Los Angeles Unified,Los Angeles,No,0.761210762,230,93,22,23.66,5,5.38,4,4.3,223,127,34,26.77,7,5.51,7,5.51
2018-19,1.96473E+13,19,1964733,1932821,S,Boyle Heights Continuation,Los Angeles Unified,Los Angeles,No,0.957142857,8,0,,,,,,,15,17,0,0,0,0,0,0
2018-19,1.96473E+13,19,1964733,1933381,S,James A. Garfield Senior High,Los Angeles Unified,Los Angeles,No,0.917866874,581,318,151,47.48,111,34.91,91,28.62,627,602,271,45.02,153,25.42,137,22.76
2018-19,1.96473E+13,19,1964733,112037,S,East Valley Senior High,Los Angeles Unified,Los Angeles,No,0.856321839,141,82,20,24.39,8,9.76,7,8.54,132,103,25,24.27,7,6.8,5,4.85
2018-19,1.96473E+13,19,1964733,1939479,S,WESM Health/Sports Medicine,Los Angeles Unified,Los Angeles,No,0.729699666,182,106,63,59.43,32,30.19,29,27.36,236,180,97,53.89,42,23.33,39,21.67
